time,W02,,,STS06,,,STS17,,,STS23,,,NTS23,,,STS29,,,E2,,,W1,,,E1,,,STCB,,,North_Ref,,,U1,,,U2,,,U3,,,U4,,,U5,,,U6,,,U7,,,U8,,,U9,,,U10,,,U11,,
,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel,throttling-abs,throttling-orthogonal-abs,vertical-abs,throttling-rel,throttling-orthogonal-rel,vertical-rel
2014-01-22 1:34,-213787.7031,4157980.25,77.44000244,36.8689537,4.322067261,-2,-213730.2969,4158001.25,78.38600159,25.74977684,3.154206038,-2,-213601.6094,4158049.75,79.8809967,11.70408726,-0.119725071,-7,-213531.5781,4158076,80.09200287,0.702676296,1.872497082,-18,-213543.2969,4158107.75,80.10700226,6.435974598,-5.619451046,-10,-213461.2656,4158102.5,79.84899902,-0.702676296,-1.872497082,-2,-213279.9219,4158170.75,77.44799805,-20.13032532,3.281769037,3,-213681.2656,4158037.75,142.4609985,18.37559319,0.580991864,-8,-213398,4158144,142.473999,-10.76783943,-0.231613085,-8,-213534.4219,4158076.5,79.70200348,3.511422396,0.818483114,-5,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44300079,34.64511871,4.088494778,1,-213730.2969,4158001.25,78.38899994,24.46218872,2.569295406,1,-213601.6094,4158049.75,79.88200378,9.831590652,0.582951248,-6,-213531.5781,4158076,80.09600067,0.702676296,1.872497082,-14,-213543.3125,4158107.75,80.10600281,4.914815426,-3.980526209,-11,-213461.2656,4158102.5,79.84899902,-1.287586689,-0.584910214,-2,-213279.9219,4158170.75,77.4489975,-21.3001461,5.856942177,4,-213681.2656,4158037.75,142.4640045,18.96050453,-0.706595063,-5,-213398,4158144,142.4750061,-12.05542564,-0.816523731,-7,-213534.4063,4158076.5,79.70200348,5.383919716,0.115806766,-5,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44200134,36.51761627,3.38581872,0,-213730.2969,4158001.25,78.38800049,25.3984375,2.217957258,0,-213601.6094,4158049.75,79.88500214,10.76783943,0.231613085,-3,-213531.5781,4158076,80.09799957,0.351338208,0.936248779,-12,-213543.2969,4158107.75,80.10399628,6.787312984,-4.683202267,-13,-213461.2656,4158102.5,79.84799957,-2.22383523,-0.233572021,-3,-213279.9219,4158170.75,77.4469986,-21.3001461,5.856942177,2,-213681.2656,4158037.75,142.4629974,19.31184196,0.229653716,-6,-213398,4158144,142.473999,-12.28899765,1.407312036,-8,-213534.4219,4158076.5,79.69999695,3.160084009,-0.117765695,-7,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44100189,35.93270493,4.673405647,-1,-213730.2969,4158001.25,78.38800049,25.74977684,3.154206038,0,-213601.6094,4158049.75,79.88200378,9.831590652,0.582951248,-6,-213531.5781,4158076,80.09500122,1.287586808,0.584910631,-15,-213543.3125,4158107.75,80.10500336,5.851064205,-4.331864357,-12,-213461.2656,4158102.5,79.84700012,-2.575173616,-1.169820786,-4,-213279.9219,4158170.75,77.44599915,-20.36389732,5.505604267,1,-213681.2656,4158037.75,142.4620056,18.72693253,1.517240286,-7,-213398,4158144,142.473999,-12.28899765,1.407312036,-8,-213534.4219,4158076.5,79.70300293,3.744994402,-1.405352592,-4,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44100189,34.99645615,5.024743557,-1,-213730.2969,4158001.25,78.38700104,24.81352806,3.505544186,-1,-213601.6094,4158049.75,79.88200378,10.76783943,0.231613085,-6,-213531.5781,4158076,80.09400177,0.351338208,0.936248779,-16,-213543.3125,4158107.75,80.10399628,6.202402592,-3.395615578,-13,-213461.2656,4158102.5,79.84899902,-2.575173616,-1.169820786,-2,-213279.9219,4158170.75,77.44999695,-21.3001461,5.856942177,5,-213681.2656,4158037.75,142.4620056,18.72693253,1.517240286,-7,-213398,4158144,142.4759979,-12.28899765,1.407312036,-6,-213534.4219,4158076.5,79.70200348,4.447670937,0.467144936,-5,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44100189,35.58136749,3.737156868,-1,-213730.2969,4158001.25,78.38899994,25.74977684,3.154206038,1,-213601.6094,4158049.75,79.8809967,9.24668026,1.870537758,-7,-213531.5781,4158076,80.09400177,0.702676296,1.872497082,-16,-213543.3125,4158107.75,80.10500336,5.266153812,-3.044277191,-12,-213461.2656,4158102.5,79.84899902,-2.22383523,-0.233572021,-2,-213279.9219,4158170.75,77.45200348,-22.93907166,4.335783482,7,-213681.2656,4158037.75,142.4629974,18.14202118,2.804827213,-6,-213398,4158144,142.4759979,-12.05542564,-0.816523731,-6,-213534.4219,4158076.5,79.7009964,4.799008846,1.403393269,-6,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44400024,34.06020737,5.376081944,2,-213730.2969,4158001.25,78.38400269,25.3984375,2.217957258,-4,-213601.6094,4158049.75,79.88400269,9.480252266,-0.353297532,-4,-213531.5781,4158076,80.09600067,0.702676296,1.872497082,-14,-213543.3125,4158107.75,80.10399628,4.914815426,-3.980526209,-13,-213461.2656,4158102.5,79.84700012,-2.575173616,-1.169820786,-4,-213279.9219,4158170.75,77.44999695,-21.0665741,3.633107185,5,-213681.2656,4158037.75,142.4629974,17.43934441,0.932330072,-6,-213398,4158144,142.4759979,-12.64033604,0.471063226,-6,-213534.4219,4158076.5,79.69999695,4.09633255,-0.469103843,-7,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44200134,35.58136749,3.737156868,0,-213730.2969,4158001.25,78.38600159,25.74977684,3.154206038,-2,-213601.6094,4158049.75,79.88500214,9.831590652,0.582951248,-3,-213531.5781,4158076,80.09500122,0.351338208,0.936248779,-15,-213543.3125,4158107.75,80.10900116,5.499725819,-5.268113136,-8,-213461.2656,4158102.5,79.84799957,-2.575173616,-1.169820786,-3,-213279.9219,4158170.75,77.44799805,-20.71523666,4.569355488,3,-213681.2656,4158037.75,142.4629974,17.43934441,0.932330072,-6,-213398,4158144,142.4759979,-11.70408726,0.119725078,-6,-213534.4219,4158076.5,79.70200348,3.511422396,0.818483114,-5,0,0,0,0,0,0
2014-01-22 1:34,-213787.7031,4157980.25,77.44200134,36.8689537,4.322067261,0,-213730.2969,4158001.25,78.38800049,25.74977684,3.154206038,0,-213601.6094,4158049.75,79.88300323,11.11917686,1.167861462,-5,-213531.5781,4158076,80.09400177,1.87249732,-0.702676296,-16,-213543.3125,4158107.75,80.10600281,4.914815426,-3.980526209,-11,-213461.2656,4158102.5,79.84799957,-3.511422157,-0.818482637,-3,-213279.9219,4158170.75,77.4469986,-22.58773232,5.272031784,2,-213681.2656,4158037.75,142.4609985,18.37559319,0.580991864,-8,-213398,4158144,142.4750061,-12.28899765,1.407312036,-7,-213534.4219,4158076.5,79.70300293,3.160084009,-0.117765695,-4,0,0,0,0,0,0
